rank,followers,engagement_rate,category,potential_reach,country,channel_name,channel_id
56,763300.0,0.58,unknown,229000.0,ecuador,Rahab Villacres,rahabvillacres
57,756900.0,0.5,unknown,227100.0,ecuador,💞Doménica Llagua💞,domenicallagua1
58,741800.0,0.58,arts and crafts,222500.0,ecuador,Mare Cevallos,marecevallos
59,738100.0,0.58,unknown,221400.0,ecuador,Ana Mera,anamera71
60,731300.0,0.58,unknown,219400.0,ecuador,Jhulyanabell,jhulyanabell
61,723800.0,0.58,unknown,217100.0,ecuador,Josué_Lince,josue_lince
62,721500.0,0.58,unknown,216500.0,ecuador,Naye Escobar Bastidas,nayeescobarbastid
63,720100.0,0.58,unknown,216000.0,ecuador,Kerly Moran,kerlymoran1
64,718800.0,0.3,unknown,215600.0,ecuador,Tik Toker,joeltuarez41
65,712800.0,0.58,unknown,213800.0,ecuador,Ren Kai - 人凯,renkaiy
66,705800.0,0.3,unknown,211700.0,ecuador,JUCE LUGARES,jucelugares
67,698400.0,0.58,unknown,209500.0,ecuador,mariamimedianaranja,maria_mimedianaranja
68,689000.0,1.2,unknown,206700.0,ecuador,frases MJ,alavamanuel_17
69,680900.0,0.58,unknown,204300.0,ecuador,Nadira,nadiramusica
70,679900.0,0.4,unknown,204000.0,ecuador,Bicho Cedeño,vicho2005_ff
71,678600.0,0.4,unknown,203600.0,ecuador,El_chico_de_las_frases,jose_pg.02
72,678000.0,0.58,fashion and accessories,203400.0,ecuador,Yesly Selena,yeslybustamanteok
73,675900.0,0.58,entertainment and music games,202800.0,ecuador,🌑🌒🌓🌔🌕🌖🌗🌘🌑,joseantonio99972
74,668600.0,0.58,romance and wedding,200600.0,ecuador,Yuribeth Cornejo,yuribethcp
75,663800.0,0.58,unknown,199100.0,ecuador,Priscila Elizabeth Jaramillo,priscilae.jaramil
76,660400.0,0.1,unknown,198100.0,ecuador,Alexis Coba AG,alexiscobaag
77,658200.0,0.1,unknown,197500.0,ecuador,Paul guerrero,rauw_yt
78,654700.0,0.9,unknown,196400.0,ecuador,ＬＡＤＹ ＤＩＡＮＡ,amarilxx
79,648300.0,0.58,unknown,194500.0,ecuador,china,geraldyn0513
80,645700.0,0.9,unknown,193700.0,ecuador,monpantoja826,monpantojao
81,645000.0,0.58,unknown,193500.0,ecuador,Raul Navarrete,suecuatorianos
82,643900.0,0.58,unknown,193200.0,ecuador,Monita ?❤,monitaa0_0
83,641300.0,0.1,unknown,192400.0,ecuador,✨frases✨,frases_naomi_
84,638900.0,0.58,unknown,191700.0,ecuador,Michelle Aguilar 🌹,michuaguilar
85,635700.0,0.58,unknown,190700.0,ecuador,Alexander Bernita Lopez,alexanderr042
86,633100.0,0.58,unknown,189900.0,ecuador,Catherine Arreaga,motta_barber_lab
87,625100.0,0.1,unknown,187500.0,ecuador,brianny_ruiz368,brianny_ruiz368
88,623100.0,0.58,unknown,186900.0,ecuador,IsraelVera,israaafails
89,622900.0,0.58,unknown,186900.0,ecuador,openings_esp,emylidr
90,621000.0,0.58,entertainment and music,186300.0,ecuador,Maria Mercedes Pache,mamercedesp1
91,616500.0,0.1,entertainment and music,185000.0,ecuador,estebannotes,estebannotes
92,613900.0,0.58,unknown,184200.0,ecuador,S i g u e m e🥳C o m p a r t e,shilda_2234
